question,answer
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '1℃', '지상 14층, 지하 3층'입니다. 인적사고 '떨어짐(5미터 이상 ~ 10미터 미만)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철근콘크리트공사' 작업에서 사고객체 '건설자재'(중분류: '철근')와 관련된 사고가 발생했습니다. 작업 프로세스는 '설치작업'이며, 장소는 '근린생활시설 / 내부', 부위는 '철근 / 고소' 입니다. 사고 원인은 '고소작업 중 추락 위험이 있음에도 불구하고, 안전난간대, 안전고리 착용 등 안전장치가 미흡하였음.'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",고소작업 시 추락 위험이 있는 부위에 안전장비 설치.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '10℃', '-'입니다. 인적사고 '끼임'이고, 물적사고'없음' 입니다. 공사종류 대분류 '토목', 중분류 '터널' 공사 중 공종 대분류 '토목', 중분류 '터널공사' 작업에서 사고객체 '건설자재'(중분류: '볼트')와 관련된 사고가 발생했습니다. 작업 프로세스는 '운반작업'이며, 장소는 '철도터널 / 내부', 부위는 '볼트 / 바닥' 입니다. 사고 원인은 '부주의'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",재발 방지 대책 마련과 안전교육 실시.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '0℃', '지상 27층, 지하 3층'입니다. 인적사고 '넘어짐(미끄러짐)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '해체 및 철거공사' 작업에서 사고객체 '기타'(중분류: '건설폐기물')와 관련된 사고가 발생했습니다. 작업 프로세스는 '해체작업'이며, 장소는 '공동주택 / 내부', 부위는 '건설폐기물 / 바닥' 입니다. 사고 원인은 '근로자의 부주의'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",자재 정리 작업 시 세부 작업 방법에 대한 교육 실시와 작업 구간 이동 경로 점검 후 장애물 사전 정리 작업 실시.
"사고인지 시간 '정규작업 -'이고, 날씨 '강설' 일 때 기온 '1℃', '지상 12층, 지하 3층'입니다. 인적사고 '물체에 맞음'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '타일 및 돌공사' 작업에서 사고객체 '건설자재'(중분류: '자재')와 관련된 사고가 발생했습니다. 작업 프로세스는 '운반작업'이며, 장소는 '근린생활시설 / 외부', 부위는 '자재 / 바닥' 입니다. 사고 원인은 '일정 거리를 두고 떨어져 있었지만 튕겨서 방향이 바뀔 것을 예상하고 좀 더 거리를 두었어야함'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","인근 작업장의 윈치양중 사고 강조 및 안전교육, 윈치양중 작업 최소화와 가능한 CAR작업 진행을 포함한 유사사고 재발 방지 대책 제출."
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '-4℃', '지상 1층, 지하 15층'입니다. 인적사고 '끼임'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철골공사' 작업에서 사고객체 '건설자재'(중분류: '자재')와 관련된 사고가 발생했습니다. 작업 프로세스는 '설치작업'이며, 장소는 '교육연구시설 / 외부', 부위는 '자재 / 고소' 입니다. 사고 원인은 '철골보와 기둥철판 사이 틈새를 고정하는 공구를 빠지지 않도록 하는 안전장치가 미비아여 , 공구가 빠지면서 손가락 협착 발생'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",관련 공종 전 작업자 유해위험사항 재교육과 시공사 및 감리자 행정지도 실시
"사고인지 시간 '연장근무 -'이고, 날씨 '흐림' 일 때 기온 '1℃', '-'입니다. 인적사고 '떨어짐(10미터 이상)'이고, 물적사고'없음' 입니다. 공사종류 대분류 '조경', 중분류 '공원' 공사 중 공종 대분류 '토목', 중분류 '해체 및 철거공사' 작업에서 사고객체 '부재'(중분류: '개구부')와 관련된 사고가 발생했습니다. 작업 프로세스는 '절단작업'이며, 장소는 '/ 외부', 부위는 '개구부 / 지하2층 개구부에서 추락' 입니다. 사고 원인은 '기존 CIP 절단 작업 중 와이어쏘 날이 끊어져 재해자가 작업 CIP 뒤쪽으로 와이어 확인 및 교체작업 중 개구부로 추락'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?","공사현장 안전줄 설치 및 안전벨트 착용, 개구부 추락방지망 및 난간대 설치, 안전관리 교육의 이행."
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '1℃', '지상 9층, 지하 2층'입니다. 인적사고 '기타'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '조적공사' 작업에서 사고객체 '질병'(중분류: '질병')와 관련된 사고가 발생했습니다. 작업 프로세스는 '쌓기작업'이며, 장소는 '창고시설 / 내부', 부위는 '질병 / 허리' 입니다. 사고 원인은 '현장 내 조적 작업 진행 중 해당 작업자 허리에서 통증이 발생하였고, 병원 진료 등 확인 결과 척추추간판협착증, 전방전위증  등이 발생된걸로 확인'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",작업시간 및 휴식시간 준수에 대한 재발 방지 대책과 향후 조치 계획.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '5℃', '지상 8층, 지하 0층'입니다. 인적사고 '끼임'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '철골공사' 작업에서 사고객체 '건설자재'(중분류: '자재')와 관련된 사고가 발생했습니다. 작업 프로세스는 '운반작업'이며, 장소는 '공장 / 내부', 부위는 '자재 / 바닥' 입니다. 사고 원인은 '2인1조로 밀어서 운반 하던 중 상호 의사소통 미흡으로,   한방향으로만 힘이 들어가 손가락이 자재와 자재 사이에 끼임'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",인력운반 작업 시 1인당 적정무게 준수 및 중량물의 무게별 작업방법 공유와 2인1조 작업 시 의사소통 미흡으로 발생한 사고사례 전파 교육 실시.
"사고인지 시간 '정규작업 -'이고, 날씨 '맑음' 일 때 기온 '5℃', '지상 8층, 지하 1층'입니다. 인적사고 '기타'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '미장공사' 작업에서 사고객체 '건설자재'(중분류: '자재')와 관련된 사고가 발생했습니다. 작업 프로세스는 '정비작업'이며, 장소는 '공장 / 내부', 부위는 '자재 / 바닥' 입니다. 사고 원인은 '적절한 보안경 미착용, 보조원의 위치 부적절'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",호스 및 장비 고장 시 작업방법 및 절차 수립과 TBM 및 정기교육 시 적절한 개인보호구 착용 및 관련 사고사례 교육.
"사고인지 시간 '출ㆍ퇴근 등 -'이고, 날씨 '맑음' 일 때 기온 '0℃', '지상 29층, 지하 1층'입니다. 인적사고 '기타'이고, 물적사고'없음' 입니다. 공사종류 대분류 '건축', 중분류 '건축물' 공사 중 공종 대분류 '건축', 중분류 '가설공사' 작업에서 사고객체 '토사 및 암반'(중분류: '지반')와 관련된 사고가 발생했습니다. 작업 프로세스는 '이동'이며, 장소는 '공동주택 / 인접주변', 부위는 '지반 / 바닥' 입니다. 사고 원인은 '동주변 토공정리 완료 전 이동'입니다. 재발 방지 대책 및 향후 조치 계획은 무엇인가요?",동 주변 근로자 이동구간 지반정리 및 TBM 시 사고사례 전파와 근로자 이동통로 정비.
